Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
4/1/17 8:56,Mayor Joins Family and Friends of Alleged Hate Crime Victim Timothy Caughman at his Funeral Saturday,NY1,,NY,http://www.ny1.com/nyc/all-boroughs/news/2017/04/1/mayor-joins-family-and-friends-of-alleged-hate-crime-victim-timothy-caughman-at-his-funeral-saturday.html,107th baptist caughman chirlane church crime funeral goodbyes hate jackson jamaica manhattan mccray mount queens timothy union 107th baptist caughman chirlane church crime funeral goodbyes hate jackson jamaica manhattan mccray mount queens timothy union,"By NY1 News	Family and friends said their final goodbyes to a man killed in what police are calling a hate crime in Manhattan.	Funeral services for Timothy Caughman took place in Jamaica, Queens this morning, at Mount Zion Baptist Church on Union Hall"
4/1/17 5:56,Teenage asylum seeker critically ill after 'brutal gang attack',Clacton and Frinton Gazette,,,http://www.clactonandfrintongazette.co.uk/news/national/15197563.Teenage_asylum_seeker_critically_ill_after____brutal_gang_attack___/,asylum attack blamires broom brutal chased croydon goat injuries kris london pub seeker shrublands suspect victims yard,"A teenage asylum seeker is fighting for his life after being beaten in a думbrutal attackдуќ by a gang in what police are treating as a hate crime.	The 17-year-old was waiting at a bus stop with two friends in Croydon, south-east London, when he was set"
4/1/17 7:22,Man Stabbed to Death With Sword in Alleged Hate Crime to be Laid to Rest,NBC New York,New York,NY,http://www.nbcnewyork.com/news/local/Timothy-Caughman-Funderal-White-Supremacist-NYC-Sword-Killing-Charge-Murder-Terrorism-417860653.html,attack bill blasio byfield caughman city crime harris hate holmes jackson man mayor supremacist sword york attack bill blasio byfield caughman city crime harris hate holmes jackson man mayor supremacist sword york attack bill blasio byfield caughman city crime harris hate holmes jackson man mayor supremacist sword york attack bill blasio byfield caughman city crime harris hate holmes jackson man mayor supremacist sword york,"By Rana Novini	James Harris Jackson, 28, was in court Monday, as prosecutors charged him with murder as an act of terrorism in addition to the murder as a hate crime charge he'd already been facing. Erica Byfield reports.	Friends, family and dignitaries"
4/1/17 8:00,UK police appeal for info in hate crime attack on youth,Idaho Statesman,Boise,ID,http://www.idahostatesman.com/news/nation-world/article142135154.html,asylum attack blamires croydon hate iran kris kurd london police seeker youth,AP	UK detectives are appealing for witnesses who might have seen a group of youths attack a teenage asylum-seeker in the London borough of Croydon.	The attack left the 17-year-old Iranian Kurd in serious but stable condition in a London hospital.
4/1/17 8:00,"UK police appeal for info in hate crime attack on youth - WBOC-TV 16, Delmarvas News Leader, FOX 21 -",WBOC TV 16,Salisbury,MD,http://www.wboc.com/story/35047535/uk-police-appeal-for-info-in-hate-crime-attack-on-youth,asylum attack blamires crayola crayon croydon dandelion iran kris kurd london seeker youth,"AP National News VideoMore>>	Crayola says it's replacing the color dandelion in its 24-pack with a crayon in ""the blue family.""	Crayola says it's replacing the color dandelion in its 24-pack with a crayon in ""the blue family.""	LONDON (AP) - UK detectives"
4/1/17 8:12,UK police appeal for info in hate crime attack on youth - KSBY.com | San Luis Obispo and Santa Barbara Area News,KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/35047535/uk-police-appeal-for-info-in-hate-crime-attack-on-youth,asylum attack blamires brexit british croydon european hate iran kris kurd london seeker union xenophobia youth,By DANICA KIRKA	AP	LONDON (AP) - UK detectives appealed Saturday for information and witnesses who might have seen a group of youths attack a teenage asylum-seeker in the London borough of Croydon.	The attack left the 17-year-old Iranian Kurd in serious
4/1/17 8:16,"UK police appeal for info in hate crime attack on youth - WAOW - Newsline 9, Wausau News, Weather, Sports",WAOW,Wausau,WI,http://www.waow.com/story/35047535/uk-police-appeal-for-info-in-hate-crime-attack-on-youth,air aldrin atlanta attack blamires bottles buzz cans died england fools interstate melbourne michigan people recycling soda yevtushenko,One child has died and about a dozen other people have been sickened following a possible carbon monoxide leak at a southwestern Michigan hotel.	One child has died and about a dozen other people have been sickened following a possible carbon monoxide leak
4/1/17 8:17,UK police appeal for info in hate crime attack on youth - Northern Michigan's News Leader,9&10 News,Cadillac,MI,http://www.9and10news.com/story/35047535/uk-police-appeal-for-info-in-hate-crime-attack-on-youth,asylum attack blamires brexit british croydon european hate iran kris kurd london seeker union xenophobia youth,By DANICA KIRKA	AP	LONDON (AP) - UK detectives appealed Saturday for information and witnesses who might have seen a group of youths attack a teenage asylum-seeker in the London borough of Croydon.	The attack left the 17-year-old Iranian Kurd in serious
4/1/17 8:20,"Friends, Family Remember Man Killed With Sword in NYC",NBC Connecticut,Hartford,CT,http://www.nbcconnecticut.com/news/national-international/Timothy-Caughman-Funderal-White-Supremacist-NYC-Sword-Killing-Charge-Murder-Terrorism-417860653.html,attacker baltimore baptist bill byfield caughman city harris hate holmes jackson khadijah man murder peek sword york attacker baltimore baptist bill byfield caughman city harris hate holmes jackson khadijah man murder peek sword york,"By Rana Novini	James Harris Jackson, 28, was in court Monday, as prosecutors charged him with murder as an act of terrorism in addition to the murder as a hate crime charge he'd already been facing. Erica Byfield reports.	Friends, family and dignitaries"
4/1/17 10:10,Mourners gather for funeral of black victim of sword slaying,McClatchy Washington Bureau,Washington,DC,http://www.mcclatchydc.com/news/politics-government/national-politics/article142141959.html,bill blasio cans caughman city coins collecting funeral harris hate jackson james mayor murder timothy york bill blasio cans caughman city coins collecting funeral harris hate jackson james mayor murder timothy york,"New York City Mayor Bill de Blasio, right, his wife, Chirlane McCray , left, and Public Advocate Letitia James, arrive for the funeral services for Timothy Caughman Saturday, April 1, 2017, in New York. Caughman was alone and collecting bottles for"
4/1/17 11:45,"Deadly Midtown Stabbing Attack Was Racially Motivated, Police Say",Normangee Star,Normangee,TX,http://normangeestar.net/2017/04/01/deadly-midtown-stabbing-attack-was-racially-motivated-police-say/,afghanistan army attack aubry black blasio caughman city harris jackson james midtown police stabbing supremacist sword,"Jackson was charged with second-degree murder, and Aubry said they want to bring hate crime charges as well.	думNow, it's our collective responsibility to speak clearly and forcefully in the face of intolerance and violence, here or across the countryдуќ,"
4/1/17 13:15,Former Army medic charged in Colorado mosque vandalism case,Fort Bend Herald,Rosenberg,Texas,http://www.fbherald.com/news/former-army-medic-charged-in-colorado-mosque-vandalism-case/article_cb701462-71e7-5429-b156-474f8c2d08b2.html,2olgizj army bible charges collins colorado coloradoan giaquinto joseph medic mischief mosque noconow scotland,"AP | 0 comments	FORT COLLINS, Colo. (AP) дуо A former Army medic accused of breaking glass doors and throwing a Bible into a Colorado mosque has been charged with felony criminal mischief.	The Coloradoan reports (http://noconow.co/2oLGiZJ) that"
4/1/17 13:37,UK: Teenage asylum seeker brutally attacked in London,Al Jazeera America,New York,NY,http://www.aljazeera.com/news/2017/04/uk-teenage-asylum-seeker-brutally-attacked-london-170401194849581.html,asylum attack blamires blows british brutally croydon european immigration iran kris kurdish london refugees seeker treating union,Seventeen-year-old refugee suffered 'repeated blows to the head' in an attack police are treating as a hate crime.	A 17-year-old boy is in serious but stable condition after being brutally attacked by a gang in the British capital for being an asylum
4/1/17 18:18,Rise in Hate Crime Spurs States to Enhance Protections,NBC Bay Area,San Francisco,CA,http://www.nbcbayarea.com/news/national-international/Rise-in-Hate-Crime-Spurs-States-to-Enhance-Protections-417878583.html,5479 5850 alabama american attorney bill conn crime crimes desecration fbi general hate incidents kifowit loretta lynch nbc york,"US Attorney General Loretta Lynch talks about hate crime in America based on the FBI's newest figures on reported incidents for 2015, as well as recent reports on hate crimes and harassment around the country on Nov. 18, 2016. (Published Friday, Nov. 18,"
4/1/17 20:56,Man Punched On C Train In Apparent Anti-Gay Attack,CBS New York,,,http://newyork.cbslocal.com/2017/04/02/c-train-assault/,attack bed brian cbs2 cbsnewyork conybeare crimes destiny franklin gay hate love manhattan shakarshy stuy train victims york attack bed brian cbs2 cbsnewyork conybeare crimes destiny franklin gay hate love manhattan shakarshy stuy train victims york attack bed brian cbs2 cbsnewyork conybeare crimes destiny franklin gay hate love manhattan shakarshy stuy train victims york attack bed brian cbs2 cbsnewyork conybeare crimes destiny franklin gay hate love manhattan shakarshy stuy train victims york attack bed brian cbs2 cbsnewyork conybeare crimes destiny franklin gay hate love manhattan shakarshy stuy train victims york attack bed brian cbs2 cbsnewyork conybeare crimes destiny franklin gay hate love manhattan shakarshy stuy train victims york,"NEW YORK (CBSNewYork) дуо A man on his way to work became the victim of an apparent hate crime, and it's happening more than you might think.	Bias attacks in the city are on the rise this year.	Police sources say the 29-year-old openly gay victim got on"
4/1/17 23:11,Six held over 'savage' attack on teenage asylum seeker,Clacton and Frinton Gazette,,,http://www.clactonandfrintongazette.co.uk/news/national/15197999.Six_held_over____savage____attack_on_teenage_asylum_seeker/,appalling asylum attack barwell clot croydon gavin goat injuries iran kurdish london savage scotland seeker teenage yard,Don't be the last to know! Get the latest local news straight to your inbox.	Six people have been arrested on suspicion of attempted murder over a думsavageдуќ attack that left a teenage asylum seeker fighting for his life.	Four men and two women in their
4/2/17 3:30,UK police arrest 6 in hate crime attack on asylum-seeker,Fox News,,,http://www.foxnews.com/world/2017/04/02/uk-police-arrest-6-in-hate-crime-attack-on-asylum-seeker.html,asylum attack british clot croydon european hate iran kurdish london police seeker taunts union xenophobia asylum attack british clot croydon european hate iran kurdish london police seeker taunts union xenophobia asylum attack british clot croydon european hate iran kurdish london police seeker taunts union xenophobia asylum attack british clot croydon european hate iran kurdish london police seeker taunts union xenophobia asylum attack british clot croydon european hate iran kurdish london police seeker taunts union xenophobia,"LONDON дус UK police have arrested six people in a vicious attack on a teenage asylum-seeker in the London borough of Croydon.	ADVERTISEMENT	Authorities are questioning four men and two women, all in their 20s, on charges of attempted murder in the attack"
4/2/17 8:22,Bill would make attacking a police officer a hate crime,The Herald,Rock Hill,SC,http://www.heraldonline.com/news/politics-government/national-politics/article142254954.html,50212 bill crime enforcement fbi hate karleton maine officer republican responder ward 50212 bill crime enforcement fbi hate karleton maine officer republican responder ward,AP	A Maine Republican legislator wants to make it a hate crime to single out and attack a police officer.	Republican Rep. Karleton Ward's bill would address those who commit crimes against a person because of that person's status as a law enforcement
4/3/17 0:03,"SB 5280: No harm, no foul",Dailyuw,,,http://www.dailyuw.com/opinion/article_4f547bb0-1811-11e7-82a7-2f167430a991.html,5280 assault crime crimes fbi hate kent occupation perceptions president racism sex washington workers,Let me just say this out the gate: Hate crime laws are nebulous and rarely used. What we often perceive to be topics of hate crime are often vastly sensationalized by the relatively recent phenomenon of the court of social media.	That isn't to say that
4/3/17 0:03,My response to думSocial Justice Warriors Need To Stopдуќ,Dailyuw,,,http://www.dailyuw.com/opinion/article_aafd7e40-1810-11e7-aacf-73c12ced42b2.html,american ben chris cult donald evidence hate kang keita muslim offensive opinion social trump united warriors,"Chris missed the overall point of my argument and article entirely, which was focused on the lack of evidence in the case concerning Ben Keita. Obviously, I am no investigative reporter, and I don't consider myself to be the teller of all truth and"
