Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
8/2/17 8:18,Deli owner posts video of man yelling at employees,WLKY Louisville,Louisville,KY,http://www.wlky.com/article/deli-owner-posts-video-of-man-yelling-at-employees-strikes-up-conversation-about-safety/10402385,city constitution deli disorderly employees gourmet james maine police portland sisters taylor video yelling city constitution deli disorderly employees gourmet james maine police portland sisters taylor video yelling city constitution deli disorderly employees gourmet james maine police portland sisters taylor video yelling,"A Maine man has been charged in what police are calling a hate crime after a disturbance at a deli Saturday afternoon.	Jesse James Taylor, 37, was seen on a surveillance camera yelling at employees at Sisters Gourmet Deli in Portland, Maine, and knocking"
8/2/17 11:11,Man charged with hate crime after harassing women at deli,Danbury News Times,Danbury,CT,http://www.newstimes.com/news/crime/article/Man-charged-with-hate-crime-after-harassing-women-11727988.php,cumberland deli derogatory gourmet hate incident jail james jesse maine police portland restaurant taylor,"PORTLAND, Maine (AP) дуо Police say they charged a man with a hate crime after he repeatedly made derogatory sexual comments to female employees while causing a disturbance at a Portland, Maine, restaurant.	Sisters Gourmet Deli employees called 911"
8/2/17 12:30,Jack'd now blurs exact location of its US users,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/social/2017/08/02/jackd-now-blurs-exact-location-its-us-users,app arab blurring blurs bullying crimes director egypt exact global hate jack lgbtq locations market rivel russia saudi app arab blurring blurs bullying crimes director egypt exact global hate jack lgbtq locations market rivel russia saudi,by Timothy Rawles - Community Editor for SDGLN	The dating app Jack'd has taken safety precautions for their US subscribers by blurring the exact locations of people using the service.	The company says they started using the feature in notoriously
8/2/17 15:30,Both Christians and Hindus protest against muslim hate crimes in India,muslimcommunityreport.com,New York,NY,http://muslimcommunityreport.com/2017/08/02/both-christians-and-hindus-protest-against-muslim-hate-crimes-in-india/,,
8/2/17 19:37,Florida cities fail to report hate crimes,Miami Herald,Miami,FL,http://www.miamiherald.com/opinion/op-ed/article165124207.html,act creek crime crimes florida gurdwara hate justice miami oak policymakers saini sikh statistics act creek crime crimes florida gurdwara hate justice miami oak policymakers saini sikh statistics act creek crime crimes florida gurdwara hate justice miami oak policymakers saini sikh statistics,"August 5th is the fifth anniversary of one of the deadliest hate crimes in modern history: a neo-Nazi attack on a gurdwara (Sikh house of worship) in Oak Creek, Wisconsin. As Sikh Americans remember that tragic day, the threat of hate crimes has not"
8/2/17 21:52,WATCH: Portland Man Charged With Hate Crime After Profanity-Laced Tirade At Sisters Deli [NSFW VIDEO],949whom.com,Saco,ME,http://949whom.com/watch-portland-man-charged-with-hate-crime-after-tirade-at-sisters-deli-nsfw-video/,,
8/2/17 22:15,Tennessee's Republican US Senators Lamar Alexander and Bob Corker Help Elevate Victim Status of Muslims Living in America,tennesseestar.com,Nolensville,TN,http://tennesseestar.com/2017/08/03/sens-alexander-and-corker-help-elevate-victim-status-of-muslims-living-in-america/,,
8/3/17 5:03,People of color beware! NAACP issues advisory for travel in Missouri,The American Bazaar,Washington,DC,https://www.americanbazaaronline.com/2017/08/03/people-of-color-beware-naacp-issues-advisory-for-travel-in-missouri/,advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel advancement advisory caution cnn color colored dredd gaines india kuchibhotla missouri naacp national people slaveholding srinivas travel,"By Jayshal Sood | August 3, 2017	Earlier this year, Indian national Srinivas Kuchibhotla was fatally shot in a hate crime, and his murderer was arrested from Missouri.	The National Association for the Advancement of Colored People cautions people of color"
8/3/17 5:45,"Oh, How I Miss Michele Bachmann",Patheos,Englewood,CO,http://www.patheos.com/blogs/dispatches/2017/08/03/oh-miss-michele-bachmann/,amendment bachmann blasphemy church congress crimes fascists first hate islamic michele minneapolis rino separation sharia speech,"No longer a member of Congress, Michele Bachmann is still spouting the delightfully loopy and ridiculous thoughts in her head. Her latest steaming pile of stupid is claiming that a hotline to report hate crimes is really a fascist attempt to outlaw"
8/3/17 5:56,"Rapper Jipsta Returns After Surviving Anti-Gay Hate Crime, Talks Support From RuPaul, Willam & Pandora Boxx",Billboard,New York,NY,http://www.billboard.com/articles/news/pride/7889674/jipsta-rapper-returns-support-rupaul-ban2oozle,album ban2oozle bandoozle boxx carrying club dance jipsta music pandora rupaul songs video willam album ban2oozle bandoozle boxx carrying club dance jipsta music pandora rupaul songs video willam,"JP Masterson, better known as Jipsta, has had a streak of hits on the Dance Club Songs chart. In fact, his cover of George Michael's думI Want Your Sexдуќ was one of three tracks to hit the chart's top 10 (it peaked at No. 4 in 2009). But in 2014, his"
