Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
2/13/17 9:01,Pizza Hut driver who killed co-worker with shotgun found mentally competent,LGBTQ Nation,Phoenix,AZ,http://www.lgbtqnation.com/2017/02/man-accused-killing-co-worker-hate-crime-stands-trial/,,
2/13/17 9:37,Residents of NJ township receiving KKK promotional fliers,New York Daily News,,,http://www.nydailynews.com/news/national/residents-nj-township-receiving-kkk-promotional-fliers-article-1.2971317,,
2/13/17 15:37,House OKs bill to expand Kentucky's hate crimes law,FOX19,Cincinnati,OH,http://www.fox19.com/story/34494432/house-oks-bill-to-expand-kentuckys-hate-crimes-law,,
2/13/17 16:56,"Amid Protests, 'Blue Lives Matter' Bill Passes Kentucky House",89.3 WFPL,Louisville,KY,http://wfpl.org/amid-protests-blue-lives-matter-bill-passes-state-house/,,
2/13/17 18:37,Lafourche inmates charged with hate crimes in jail attack,Daily Comet,Thibodaux,LA,http://www.dailycomet.com/news/20170213/lafourche-inmates-charged-with-hate-crimes-in-jail-attack,,
2/14/17 11:55,Police: Davis hate crime suspect had 'aspirations' to kill,Davis Enterprise,Davis,CA,http://www.davisenterprise.com/local-news/crime-fire-courts/arrest-made-in-davis-mosque-vandalism/,,
2/14/17 13:45,"Fowler's 'Blue Lives Matter' bill is great tribute to our protectors, but...",Harrisburg Daily Register,Harrisburg,IL,http://www.dailyregister.com/news/20170214/fowlers-blue-lives-matter-bill-is-great-tribute-to-our-protectors-but,,
2/14/17 16:11,Arrest made after bacon strips left at California mosque,GoDanRiver.com,Danville,VA,http://www.godanriver.com/news/national/wire/arrest-made-after-bacon-strips-left-at-california-mosque/article_328bd862-8ba1-5277-91ad-8a9332604cd8.html,,
2/14/17 16:11,Arrest made after bacon strips left at California mosque - KSBY.com | San Luis Obispo and Santa Barbara Area News,KSBY San Luis Obispo News,San Luis Obispo,CA,http://www.ksby.com/story/34505277/arrest-made-after-bacon-strips-left-at-california-mosque,,
2/14/17 18:15,Report: San Diego violent crime rates lowest in decades,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/commentary/2017/02/14/report-san-diego-violent-crime-rates-lowest-decades,,
2/14/17 21:04,Blue Lives Matter Bills Would Make Targeting First Responders a Hate Crime,MyStateline.com,Rockford,IL,http://www.mystateline.com/news/blue-lives-matter-bills-would-make-targeting-first-responders-a-hate-crime/656154788,,
2/15/17 4:00,Reports Of 'Hate Crime' Are Exaggerated By Those Who Oppose Brexit,Heat Street,,,http://heatst.com/life/reports-of-hate-crime-are-exaggerated-by-those-who-oppose-brexit/,,
2/15/17 7:00,New bias crime dashboard shows increase in reports of Seattle hate violence,CHS Capitol Hill Seattle,Seattle,WA,http://www.capitolhillseattle.com/2017/02/new-bias-crime-dashboard/,,
2/15/17 10:26,Tulsa man charged in neighbor's killing to plead insanity,SFGate,San Francisco,CA,http://www.sfgate.com/news/crime/article/Tulsa-man-charged-in-neighbor-s-killing-to-plead-10934830.php,,
