Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
6/20/17 0:30,Police: Brutal slaying near mosque stemmed from road rage,The Advocate,Stamford,CT,http://www.stamfordadvocate.com/news/crime/article/Police-Brutal-slaying-near-mosque-stemmed-from-11232125.php,chaudry darwin daughter girl hassanen martinez mosque nabra parker police ramadan sterling torres virginia,"Matthew Barakat, AP	22-year-old Darwin Martinez Torres was arrested and charged with murder after Virginia police found female remains in a pond in Sterling, Virginia, that they believe belong to a teenage girl who went missing early Sunday on her way to"
6/20/17 1:37,Hate Assault Reported in Hampton Bays; Police Seek Information,East End Beacon,Riverhead,NY,http://www.eastendbeacon.com/2017/06/20/hate-assault-reported-in-hampton-bays-police-seek-information/,631702 chief crime hate immigrants ola police schneiderman skrynecki southampton suffolk town 631702 chief crime hate immigrants ola police schneiderman skrynecki southampton suffolk town 631702 chief crime hate immigrants ola police schneiderman skrynecki southampton suffolk town 631702 chief crime hate immigrants ola police schneiderman skrynecki southampton suffolk town,"Southampton Town Police, the Suffolk County Police Hate Crimes Unit and the Suffolk County district attorney are investigating the incident as a hate crime, and are asking anyone who has information to call Southampton Town Police detectives at"
6/20/17 5:22,"Boston Musician 'Keytar Bear' Attacked, 3 Teens Arrested",NBC New York,New York,NY,http://www.nbcnewyork.com/news/national-international/3-Juveniles-Facing-Charges-in-Alleged-Assault-on-Bostons-Keytar-Bear-429215713.html,assault bear boston congress hampshire keytar men musician officer scaffolding state street suspect young,"By Melissa Buja and Karen Hensel	Three New Hampshire juveniles could face hate crime charges after an an alleged assault on the Boston musician known as ""Keytar Bear.""	Keytar Bear is a well-known street musician who dresses in a bear costumes and plays"
6/20/17 5:23,My son is no terrorist': Family of Finsbury Park attack suspect provides few hints of possible motives,Laredo Morning Times,Laredo,TX,http://www.lmtonline.com/news/article/Family-of-London-attack-suspect-massively-11232523.php,attack british darren finsbury hate london mosques muslim osborne park ramadan terror welsh,LONDON -- The family of the man suspected of ramming a van into Muslim worshipers offered public condolences Tuesday in statements that gave little hint of possible motives behind the latest terrorist strike in London.	The suspect - identified by British
6/20/17 5:27,Boston Musician 'Keytar Bear' Attacked; 3 Teens Arrested,NBC4 Washington,Washington,DC,http://www.nbcwashington.com/news/national-international/3-Juveniles-Facing-Charges-in-Alleged-Assault-on-Bostons-Keytar-Bear-429215713.html,attacked bear boston congress hampshire keytar men musician officer scaffolding state suspect young attacked bear boston congress hampshire keytar men musician officer scaffolding state suspect young,"By Melissa Buja and Karen Hensel	Though some companies don't pay at all, what do you think is the right amount of paid maternity leave?	The beloved icon Keytar Bear has been attacked.	Three New Hampshire juveniles could face hate crime charges after an an"
6/20/17 7:26,"18-Year-Old Arrested in Connection to Hate Crime, Assault",U.S. News & World Report,Washington,DC,https://www.usnews.com/news/best-states/washington/articles/2017-06-20/18-year-old-arrested-in-connection-to-hate-crime-assault,2rmeqw7 andre assault beckley bellingham crime harassment hate herald knife malicious marcel police roommates siftsoff wash washington 2rmeqw7 andre assault beckley bellingham crime harassment hate herald knife malicious marcel police roommates siftsoff wash washington,"A Washington man accused of threatening his roommates with a knife is facing charges of a hate crime and assault.	BELLINGHAM, Wash. (AP) дуо A Washington man accused of threatening his roommates with a knife is facing charges of a hate crime and assault."
6/20/17 7:26,Why Was Nabra Hassanen Killed? 'Road Rage' May Have Caused Muslim Teen's Death,International Business Times,New York,NY,http://www.ibtimes.com/why-was-nabra-hassanen-killed-road-rage-may-have-caused-muslim-teens-death-2554818,bryan encounter hassanen hate martinez muslim nabra parker police ramadan religion teen torres virginia bryan encounter hassanen hate martinez muslim nabra parker police ramadan religion teen torres virginia bryan encounter hassanen hate martinez muslim nabra parker police ramadan religion teen torres virginia,"By Juliana Rose Pignataro On 06/20/17 AT 10:28 AM	Police said the death of Muslim teen Nabra Hassanen was not being investigated as a hate crime, but instead, as an incident of road rage. Hassanen's body was discovered Sunday afternoon in a Virginia pond"
6/20/17 7:40,The Latest: Vigils planned for fatally attacked Muslim teen,The Courier-Express,New Bethlehem,PA,http://www.thecourierexpress.com/news/nation/the-latest-vigils-planned-for-fatally-attacked-muslim-teen/article_2effa9b0-1888-5870-a039-eb955e5b8819.html,abdelhamid darwin fairfax family girl hassanen latest martinez mosque muslim nabra police teen torres vigils virginia,"This photo provided by the Fairfax County Police Department shows Darwin Martinez Torres, of Sterling, Va. Martinez Torres was held on a murder charge Monday, June 19, 2017, in the slaying of a teenage Muslim girl who was attacked during a breakfast break"
6/20/17 7:48,"Killing of Muslim teen near NoVa. mosque stemmed from road rage, police say",The Daily Progress,Charlottesville,VA,http://www.dailyprogress.com/news/state/killing-of-muslim-teen-near-nova-mosque-stemmed-from-road/article_5e76380c-55c6-11e7-a64f-0b0dd56fd835.html,fairfax hassanen loudoun martinez mcdonald mosque muslim nabra ramadan sterling teen torres virginia wright fairfax hassanen loudoun martinez mcdonald mosque muslim nabra ramadan sterling teen torres virginia wright,"By Justin Jouvenal & Julie Zauzmer | The Washington Post	WASHINGTON дуо The Virginia teens were up late observing Ramadan, so they did what young people often do in the wee hours of the weekend: They went out for a bite to eat at McDonald's.	But as they"
6/20/17 8:33,The Latest Vigils planned for fatally attacked Muslim teen,thetruth24.net,Passaic,NJ,https://thetruth24.net/2017/06/20/the-latest-vigils-planned-for-fatally-attacked-muslim-teen/,,
6/20/17 8:33,Latest: Principal of slain teen's school: She was 'beloved',Ravalli Republic,Hamilton,MT,http://ravallirepublic.com/news/national/article_180cafd1-e000-52ed-b92a-602f1a6db25f.html,darwin fairfax girl hassanen latest martinez mosque muslim nabra police principal retzer teen torres,"This photo provided by the Fairfax County Police Department shows Darwin Martinez Torres, of Sterling, Va. Martinez Torres was held on a murder charge Monday, June 19, 2017, in the slaying of a teenage Muslim girl who was attacked during a breakfast break"
6/20/17 9:07,Editorial: 'Hate crime' needed tougher sentencing,Daily Democrat,Woodland,CA,http://www.dailydemocrat.com/opinion/20170620/editorial-hate-crime-needed-tougher-sentencing,center coehlo couzens davis hate islamic kirk lauren muslim probation ramadan trump vandalism vandalizing,"We can't help but wonder what someone's punishment would have been had the person defaced a church or synagogue? There's no question to our way of thinking that the person would have received jail time.	The fact the sentencing of Lauren Kirk-Coehlo, 30,"
6/20/17 9:30,Boston's Keytar Bear Vows to Play Again After Violent Assault,VICE,Brooklyn,New York,https://www.vice.com/en_us/article/bostons-keytar-bear-vows-to-play-again-after-violent-assault-vgtrn,bear boston busking doin faneuil fenway gofundme hampshire harvard incident keytar mood nbc performer press teen,"Three teens could face hate crime charges after an altercation with the beloved street performer.	After a group of teens allegedly beat up legendary Boston street performer Keytar Bear last weekend, hundreds of fans across the city have donated to a"
