Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
3/1/17 2:53,Arrest made in 'You live in Trump country now' gay-bashing attack,Miami Herald,Miami,FL,http://www.miamiherald.com/news/local/community/florida-keys/article135654693.html,,
3/1/17 6:15,Keith Ellison calls on attorney general to investigate cemetery desecration as hate crime,Jewish Telegraphic Agency,New York,NY,http://www.jta.org/2017/03/01/news-opinion/politics/keith-ellison-calls-on-attorney-general-to-investigate-cemetery-desecration-as-hate-crime,,
3/1/17 6:48,Hate-crime victim to defendants: 'Why you crying now?',ActionNewsJax.com,Jacksonville,FL,http://www.actionnewsjax.com/news/trending-now/hatecrime-victim-to-defendants-why-you-crying-now/498595453,,
3/1/17 9:26,Police obtain hate crime arrest warrant for moped riding Trump supporter,GayToday,Cocoa,FL,http://gaytoday.com/index.php/2017/03/01/police-obtain-hate-crime-arrest-warrant-for-moped-riding-trump-supporter/,,
3/1/17 10:56,Hillcrest vigil to be held for trans people killed in 2017 on March 2,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/causes/2017/03/01/hillcrest-vigil-be-held-trans-people-killed-2017-march-2,,
3/1/17 13:21,"NYPD reports sharp uptick in hate crimes, particularly anti-Semitism",WABC-TV,New York,NY,http://abc7ny.com/news/nypd-reports-uptick-in-hate-crimes-particularly-anti-semitism/1779685/,,
3/1/17 14:51,"55 Percent Increase in Hate Crimes in NYC, NYPD Says",NY1,,NY,http://www.ny1.com/nyc/all-boroughs/news/2017/03/1/55-percent-increase-in-hate-crimes-in-nyc--nypd-says.html,,
3/2/17 3:03,Indian American Congressman urges Sessions to combat hate crimes,India New England,Waltham,MA,http://indianewengland.com/2017/03/indian-american-congressman-urges-sessions-combat-hate-crimes/,,
3/2/17 3:41,Indian American girl racially abused in New York train,The American Bazaar,Washington,DC,https://www.americanbazaaronline.com/2017/03/02/indian-american-girl-racially-abused-in-new-york-train423030/,,
3/2/17 3:56,Spain Seizes Catholic Bus For Potential 'Hate Crimes' in Dustup Over Transgender Rights,Heat Street,,,https://heatst.com/culture-wars/bus-with-anti-transgender-slogan-is-impounded-by-authorities-in-spain/,,
3/2/17 4:33,Muslim Community Center sponsors symposium on tolerance,Montgomery County Sentinel,Rockville,MD,http://www.thesentinel.com/mont/newsx/local/item/4901-muslim-community-center-sponsors-symposium-on-tolerance,,
3/2/17 5:18,Spain's capital bans bus with anti-transgender message,Reuters,,,http://in.reuters.com/article/spain-protest-transgender-idINKBN1691QP,,
3/2/17 6:01,Police Arrest Trump Supporter Suspected in Key West Gay Bashing,Towleroad,New York,NY,http://www.towleroad.com/2017/03/key-west-trump/,,
3/2/17 6:15,Hatewatch Headlines 3/2/2017,Southern Poverty Law Center,Montgomery,AL,https://www.splcenter.org/hatewatch/2017/03/02/hatewatch-headlines-322017,,
3/2/17 6:37,25 Senators urge Trump administration to respond to 'alarming increase' in hate violence,The Hill,Washington,DC,http://origin-nyi.thehill.com/homenews/senate/321964-25-senators-urge-trump-administration-to-respond-to-alarming-increase-in-hate,,
3/2/17 6:48,WSW: Speaking Up Against Hate Crimes,WMUK,Kalamazoo,Michigan,http://wmuk.org/post/wsw-speaking-against-hate-crimes,,
3/2/17 7:06,Jewish cemetery vandalized; Cuomo starts investigation,Rochester Democrat and Chronicle,Rochester,NY,http://www.democratandchronicle.com/story/news/2017/03/02/jewish-cemetery-vandalized-rochester/98626108/,,
3/2/17 7:33,Anti-hate rally set in Philadelphia after cemetery vandalism,Pocono Record,Stroudsburg,PA,http://www.poconorecord.com/news/20170302/hundreds-rally-against-hate-after-cemetery-damage-threats,,
3/2/17 7:37,"Hundreds rally against hate after cemetery damage, threats",Yahoo News,Altadena,California,https://www.yahoo.com/news/anti-hate-rally-set-philadelphia-cemetery-vandalism-153102167.html,,
3/2/17 7:45,Blue Lives Matter' Bill Headed To Full Kentucky Senate,WKMS,Murray,KY,http://wkms.org/post/blue-lives-matter-bill-headed-full-kentucky-senate,,
3/2/17 8:27,Richlands man charged in 'You live in Trump country now' gay-bashing attack,WITN,,,http://www.witn.com/content/news/Richlands-man-charged-in-You-live-in-Trump-country-now-gay-bashing-attack--415225773.html,,
3/2/17 8:30,Trump Administration Urged to Investigate Wave of Attacks as Hate Crimes,eNews Park Forest,Park Forest,IL,https://enewspf.com/2017/03/02/trump-administration-urged-investigate-wave-attacks-hate-crimes/,,
3/2/17 9:03,Area bizman sees prez speak,Queens Chronicle,Queens,NY,http://www.qchron.com/editions/queenswide/area-bizman-sees-prez-speak/article_81858a47-fccc-52f4-a620-40c019e9297c.html,,
3/2/17 9:03,What a white terror spree in '80s Seattle says about threats of anti-Semitism today,KUOW News and Information,Seattle,Washington,http://kuow.org/post/what-white-terror-spree-80s-seattle-says-about-threats-anti-semitism-today,,
3/2/17 9:10,25 Senators Pushing Justice Dept. to Crack Down on Hate Violence,Newsmax,West Palm Beach,FL,http://www.newsmax.com/Newsfront/Senators-Letter-State-DeptHate-Violence/2017/03/02/id/776526/,,
