Article Date,Article Title,Organization,City,State,URL,Keywords,Summary
5/1/17 2:00,"San Diego Shooting: Gunman Killed In Mass Shooting At Apartment Complex, Police Investigating Possible Hate Crime",International Business Times,New York,NY,http://www.ibtimes.com/san-diego-shooting-gunman-killed-mass-shooting-apartment-complex-police-investigating-2532743,blake california complex crossroads diego gun jolla mike officers peter police pool selis shooting suspect zimmerman blake california complex crossroads diego gun jolla mike officers peter police pool selis shooting suspect zimmerman blake california complex crossroads diego gun jolla mike officers peter police pool selis shooting suspect zimmerman,"By Shreesha Ghosh On 05/01/17 AT 5:03 AM	Police officers in San diego shot and killed a gunman Sunday. Peter Selis opened fire inside of a gated pool area at the La Jolla Crossroads complex, killing one person and left seven others wounded, April 30,"
5/1/17 8:00,La Jolla gunman was 'relaxing and shooting people' poolside,San Diego Gay & Lesbian News,San Diego,CA,http://sdgln.com/news/2017/05/01/la-jolla-gunman-was-relaxing-and-shooting-people-poolside,africa american chief diego gunshot jolla phillips police pow selis shooting tribune union victims zimmerman africa american chief diego gunshot jolla phillips police pow selis shooting tribune union victims zimmerman africa american chief diego gunshot jolla phillips police pow selis shooting tribune union victims zimmerman,"by Timothy Rawles - Community Editor for SDGLN	A gunman who appeared relaxed, opened fire at a birthday pool party in a La Jolla apartment complex last night, killing one person and injuring several others reports San Diego police.	The suspect was"
5/1/17 14:47,Loveland police investigate possible hate crime,The Coloradoan,Fort Collins,CO,http://www.coloradoan.com/story/news/2017/05/01/loveland-police-investigate-possible-hate-crime/308457001/,assault bias bluejeans burreson colorado coloradoan crime denver dotson emts hate library loveland orientation police public victims assault bias bluejeans burreson colorado coloradoan crime denver dotson emts hate library loveland orientation police public victims,"The Loveland Police Department is investigating the physical assault of a 24-year-old man as a possible hate crime.	A Denver man told police that a man and a woman walked by him at the Loveland Public Library, 300 N. Adams Ave., and started a verbal"
5/2/17 8:06,Sikh community to hold open house in response to hate crimes,Richmond Standard,Richmond,California,http://richmondstandard.com/2017/05/02/local-sikh-community-to-hold-open-house-forum-in-response-to-hate-crimes/,community creek crime crimes gurdwara hate hillcrest khalsa maan murder oak richmond sikh sobrante town community creek crime crimes gurdwara hate hillcrest khalsa maan murder oak richmond sikh sobrante town community creek crime crimes gurdwara hate hillcrest khalsa maan murder oak richmond sikh sobrante town,"Members of the local Sikh community are teaming with a new El Sobrante group to hold a community forum and open house in response to recent hate crimes.	On Wednesday, May 24 at 7:30 pm, the El Sobrante Gurdwara is partnering with Not In Our Town, El"
5/2/17 8:11,Civil rights leaders to testify on spike in hate crimes,WMC Action News 5,Memphis,Tennessee,http://www.wmcactionnews5.com/story/35312652/civil-rights-leaders-to-testify-on-spike-in-hate-crimes,anti civil commission crimes defamation hacker hate jewish judiciary justice league semitic testify treene vandalism,"The Senate Judiciary Committee on Tuesday will also hear from a Justice Department official on ways to address the problem. One of the groups set to testify is the Anti-Defamation League, which released a report last week that found an increase in cases"
5/2/17 8:11,Civil rights leaders to testify on spike in hate crimes - FOX 14 TV Joplin and Pittsburg News Weather Sports |,Fox 14 News,Pittsburg,KS,http://www.fox14tv.com/story/35312649/civil-rights-leaders-to-testify-on-spike-in-hate-crimes,anti brinksmanship civil commission congress defamation gridlock hate jewish justice partisan scrambling shutdown testify treene whitehouse,"AP National News VideoMore>>	Many of the players have changed in Congress and the White House, but the same gridlock and partisan brinksmanship of the past eight years have lawmakers scrambling to avoid a government shutdown this week.	Many of the players"
5/2/17 8:11,"Civil rights leaders to testify on spike in hate crimes - ABC FOX Montana Local News, Weather, Sports KTMF | KWYB",ABC FOX Montana News,Missoula,MT,http://www.abcfoxmontana.com/story/35312649/civil-rights-leaders-to-testify-on-spike-in-hate-crimes,anti civil commission crimes defamation hacker hate jewish judiciary justice ktmf kwyb league semitic testify treene,"The Senate Judiciary Committee on Tuesday will also hear from a Justice Department official on ways to address the problem. One of the groups set to testify is the Anti-Defamation League, which released a report last week that found an increase in cases"
5/2/17 8:11,Civil rights leaders to testify on spike in hate crimes - Northern Michigan's News Leader,9&10 News,Cadillac,MI,http://www.9and10news.com/story/35312649/civil-rights-leaders-to-testify-on-spike-in-hate-crimes,anti civil commission crimes defamation hacker hate jewish judiciary justice league semitic testify treene vandalism anti civil commission crimes defamation hacker hate jewish judiciary justice league semitic testify treene vandalism,"The Senate Judiciary Committee on Tuesday will also hear from a Justice Department official on ways to address the problem. One of the groups set to testify is the Anti-Defamation League, which released a report last week that found an increase in cases"
5/2/17 8:11,Civil rights leaders to testify on spike in hate crimes - KATC.com | Continuous News Coverage | Acadiana-Lafayette,KATC Lafayette News,Lafayette,LA,http://www.katc.com/story/35312649/civil-rights-leaders-to-testify-on-spike-in-hate-crimes,acadiana anti civil commission crimes defamation hacker hate jewish judiciary justice katc league semitic testify treene acadiana anti civil commission crimes defamation hacker hate jewish judiciary justice katc league semitic testify treene,"The Senate Judiciary Committee on Tuesday will also hear from a Justice Department official on ways to address the problem. One of the groups set to testify is the Anti-Defamation League, which released a report last week that found an increase in cases"
5/2/17 8:11,"Civil rights leaders to testify on spike in hate crimes - Fox29 WFLX TV, West Palm Beach, FL-news & weather",wflx,West Palm Beach,FL,http://www.wflx.com/story/35312649/civil-rights-leaders-to-testify-on-spike-in-hate-crimes,anti civil commission crimes defamation fox29 hacker hate jewish judiciary justice league semitic testify treene wflx,"AP National News VideoMore>>	The Senate Judiciary Committee on Tuesday will also hear from a Justice Department official on ways to address the problem. One of the groups set to testify is the Anti-Defamation League, which released a report last week that"
